id,State,County,Year,Estimate Gini Index
0500000US22017, Louisiana,Caddo,2015,0.4995
0500000US22019, Louisiana,Calcasieu,2015,0.4737
0500000US22033, Louisiana,East Baton Rouge,2015,0.4943
0500000US22045, Louisiana,Iberia,2015,0.5086
0500000US22051, Louisiana,Jefferson,2015,0.4466
0500000US22055, Louisiana,Lafayette,2015,0.5113
0500000US22057, Louisiana,Lafourche,2015,0.4639
0500000US22063, Louisiana,Livingston,2015,0.4317
0500000US22071, Louisiana,Orleans,2015,0.5636
0500000US22073, Louisiana,Ouachita,2015,0.51
0500000US22079, Louisiana,Rapides,2015,0.4774
0500000US22097, Louisiana,St. Landry,2015,0.5526
0500000US22103, Louisiana,St. Tammany,2015,0.4647
0500000US22105, Louisiana,Tangipahoa,2015,0.4905
0500000US22109, Louisiana,Terrebonne,2015,0.4564
0500000US23001, Maine,Androscoggin,2015,0.4275
0500000US23003, Maine,Aroostook,2015,0.4766
0500000US23005, Maine,Cumberland,2015,0.4685
0500000US23011, Maine,Kennebec,2015,0.4269
0500000US23019, Maine,Penobscot,2015,0.4481
0500000US23031, Maine,York,2015,0.4127
0500000US24001, Maryland,Allegany,2015,0.4426
0500000US24003, Maryland,Anne Arundel,2015,0.4129
0500000US24005, Maryland,Baltimore,2015,0.4558
0500000US24009, Maryland,Calvert,2015,0.3525
0500000US24013, Maryland,Carroll,2015,0.3902
0500000US24015, Maryland,Cecil,2015,0.395
0500000US24017, Maryland,Charles,2015,0.3621
0500000US24021, Maryland,Frederick,2015,0.416
0500000US24025, Maryland,Harford,2015,0.4234
0500000US24027, Maryland,Howard,2015,0.3899
0500000US24031, Maryland,Montgomery,2015,0.4667
0500000US24033, Maryland,Prince George's,2015,0.3961
0500000US24037, Maryland,St. Mary's,2015,0.3866
0500000US24043, Maryland,Washington,2015,0.4388
0500000US24045, Maryland,Wicomico,2015,0.4094
0500000US24510, Maryland,Baltimo,2015,0.5192
0500000US25001, Massachusetts,Barnstable,2015,0.4593
0500000US25003, Massachusetts,Berkshire,2015,0.471
0500000US25005, Massachusetts,Bristol,2015,0.447
0500000US25009, Massachusetts,Essex,2015,0.4853
0500000US25011, Massachusetts,Franklin,2015,0.4499
0500000US25013, Massachusetts,Hampden,2015,0.4655
0500000US25015, Massachusetts,Hampshire,2015,0.476
0500000US25017, Massachusetts,Middlesex,2015,0.4641
0500000US25021, Massachusetts,Norfolk,2015,0.4755
0500000US25023, Massachusetts,Plymouth,2015,0.4618
0500000US25025, Massachusetts,Suffolk,2015,0.5392
0500000US25027, Massachusetts,Worcester,2015,0.4601
0500000US26005, Michigan,Allegan,2015,0.4
0500000US26017, Michigan,Bay,2015,0.4148
0500000US26021, Michigan,Berrien,2015,0.4986
0500000US26025, Michigan,Calhoun,2015,0.4363
0500000US26037, Michigan,Clinton,2015,0.4268
0500000US26045, Michigan,Eaton,2015,0.4066
0500000US26049, Michigan,Genesee,2015,0.4554
0500000US26055, Michigan,Grand Traverse,2015,0.4389
0500000US26065, Michigan,Ingham,2015,0.4825
0500000US26073, Michigan,Isabella,2015,0.4987
0500000US26075, Michigan,Jackson,2015,0.4489
0500000US26077, Michigan,Kalamazoo,2015,0.4696
0500000US26081, Michigan,Kent,2015,0.4707
0500000US26087, Michigan,Lapeer,2015,0.4097
0500000US26091, Michigan,Lenawee,2015,0.4162
0500000US26093, Michigan,Livingston,2015,0.3951
0500000US26099, Michigan,Macomb,2015,0.4237
0500000US26103, Michigan,Marquette,2015,0.4326
0500000US26111, Michigan,Midland,2015,0.46
0500000US26115, Michigan,Monroe,2015,0.4113
0500000US26121, Michigan,Muskegon,2015,0.4283
0500000US26125, Michigan,Oakland,2015,0.466
0500000US26139, Michigan,Ottawa,2015,0.4237
0500000US26145, Michigan,Saginaw,2015,0.4746
0500000US26147, Michigan,St. Clair,2015,0.4207
0500000US26155, Michigan,Shiawassee,2015,0.3746
0500000US26159, Michigan,Van Buren,2015,0.4613
0500000US26161, Michigan,Washtenaw,2015,0.4731
0500000US26163, Michigan,Wayne,2015,0.5025
0500000US27003, Minnesota,Anoka,2015,0.3936
0500000US27013, Minnesota,Blue Earth,2015,0.4464
0500000US27019, Minnesota,Carver,2015,0.4309
0500000US27037, Minnesota,Dakota,2015,0.4042
0500000US27053, Minnesota,Hennepin,2015,0.4838
0500000US27109, Minnesota,Olmsted,2015,0.4613
0500000US27123, Minnesota,Ramsey,2015,0.4539
0500000US27131, Minnesota,Rice,2015,0.4358
0500000US27137, Minnesota,St. Louis,2015,0.449
0500000US27139, Minnesota,Scott,2015,0.4026
0500000US27141, Minnesota,Sherburne,2015,0.3686
0500000US27145, Minnesota,Stearns,2015,0.4293
0500000US27163, Minnesota,Washington,2015,0.424
0500000US27171, Minnesota,Wright,2015,0.3781
0500000US28033, Mississippi,DeSoto,2015,0.4146
0500000US28035, Mississippi,Forrest,2015,0.4756
0500000US28047, Mississippi,Harrison,2015,0.446
0500000US28049, Mississippi,Hinds,2015,0.4808
0500000US28059, Mississippi,Jackson,2015,0.4679
0500000US28067, Mississippi,Jones,2015,0.542
0500000US28075, Mississippi,Lauderdale,2015,0.4918
0500000US28081, Mississippi,Lee,2015,0.4633
0500000US28089, Mississippi,Madison,2015,0.4564
0500000US28121, Mississippi,Rankin,2015,0.4171
0500000US29019, Missouri,Boone,2015,0.4789
0500000US29021, Missouri,Buchanan,2015,0.4088
0500000US29031, Missouri,Cape Girardeau,2015,0.4947
0500000US29037, Missouri,Cass,2015,0.3988
0500000US29043, Missouri,Christian,2015,0.3917
0500000US29047, Missouri,Clay,2015,0.4003
0500000US29051, Missouri,Cole,2015,0.3943
0500000US29071, Missouri,Franklin,2015,0.4411
0500000US29077, Missouri,Greene,2015,0.4429
0500000US29095, Missouri,Jackson,2015,0.474
0500000US29097, Missouri,Jasper,2015,0.4287
0500000US29099, Missouri,Jefferson,2015,0.3931
0500000US29165, Missouri,Platte,2015,0.4204
0500000US29183, Missouri,St. Charles,2015,0.4012
0500000US29187, Missouri,St. Francois,2015,0.3969
0500000US29189, Missouri,St. Louis,2015,0.4886
0500000US29510, Missouri,St. Lou,2015,0.5099
0500000US30013, Montana,Cascade,2015,0.5014
0500000US30029, Montana,Flathead,2015,0.491
0500000US30031, Montana,Gallatin,2015,0.4626
0500000US30049, Montana,Lewis and Clark,2015,0.3944
0500000US30063, Montana,Missoula,2015,0.4678
0500000US30111, Montana,Yellowstone,2015,0.4405
0500000US31055, Nebraska,Douglas,2015,0.479
0500000US31109, Nebraska,Lancaster,2015,0.4442
0500000US31153, Nebraska,Sarpy,2015,0.3724
0500000US32003, Nevada,Clark,2015,0.4604
0500000US32031, Nevada,Washoe,2015,0.4513
0500000US33005, New Hampshire,Cheshire,2015,0.4408
0500000US33009, New Hampshire,Grafton,2015,0.4976
0500000US33011, New Hampshire,Hillsborough,2015,0.4277
0500000US33013, New Hampshire,Merrimack,2015,0.4256
0500000US33015, New Hampshire,Rockingham,2015,0.4053
0500000US33017, New Hampshire,Strafford,2015,0.432
0500000US34001, New Jersey,Atlantic,2015,0.472
0500000US34003, New Jersey,Bergen,2015,0.4812
0500000US34005, New Jersey,Burlington,2015,0.4348
0500000US34007, New Jersey,Camden,2015,0.459
0500000US34009, New Jersey,Cape May,2015,0.4674
0500000US34011, New Jersey,Cumberland,2015,0.4286
0500000US34013, New Jersey,Essex,2015,0.5621
0500000US34015, New Jersey,Gloucester,2015,0.4231
0500000US34017, New Jersey,Hudson,2015,0.506
0500000US34019, New Jersey,Hunterdon,2015,0.4331
0500000US34021, New Jersey,Mercer,2015,0.4858
0500000US34023, New Jersey,Middlesex,2015,0.4387
0500000US34025, New Jersey,Monmouth,2015,0.4818
0500000US34027, New Jersey,Morris,2015,0.4614
0500000US34029, New Jersey,Ocean,2015,0.4491
0500000US34031, New Jersey,Passaic,2015,0.4792
0500000US34033, New Jersey,Salem,2015,0.4551
0500000US34035, New Jersey,Somerset,2015,0.4549
0500000US34037, New Jersey,Sussex,2015,0.4331
0500000US34039, New Jersey,Union,2015,0.4931
0500000US34041, New Jersey,Warren,2015,0.4261
0500000US35001, New Mexico,Bernalillo,2015,0.4811
0500000US35005, New Mexico,Chaves,2015,0.4506
0500000US35013, New Mexico,Do?a Ana,2015,0.4795
0500000US35025, New Mexico,Lea,2015,0.4317
0500000US35031, New Mexico,McKinley,2015,0.5309
0500000US35035, New Mexico,Otero,2015,0.44
0500000US35043, New Mexico,Sandoval,2015,0.4125
0500000US35045, New Mexico,San Juan,2015,0.4571
0500000US35049, New Mexico,Santa Fe,2015,0.4865
0500000US35061, New Mexico,Valencia,2015,0.4343
0500000US36001, New York,Albany,2015,0.4784
0500000US36005, New York,Bronx,2015,0.51
0500000US36007, New York,Broome,2015,0.4556
0500000US36009, New York,Cattaraugus,2015,0.4134
0500000US36011, New York,Cayuga,2015,0.4106
0500000US36013, New York,Chautauqua,2015,0.4376
0500000US36015, New York,Chemung,2015,0.4248
0500000US36019, New York,Clinton,2015,0.41
0500000US36027, New York,Dutchess,2015,0.4388
0500000US36029, New York,Erie,2015,0.4619
0500000US36045, New York,Jefferson,2015,0.4071
0500000US36047, New York,Kings,2015,0.5277
0500000US36051, New York,Livingston,2015,0.4199
0500000US36053, New York,Madison,2015,0.4061
0500000US36055, New York,Monroe,2015,0.4571
0500000US36059, New York,Nassau,2015,0.4538
0500000US36061, New York,New York,2015,0.6011
0500000US36063, New York,Niagara,2015,0.456
0500000US36065, New York,Oneida,2015,0.4803
0500000US36067, New York,Onondaga,2015,0.4567
0500000US36069, New York,Ontario,2015,0.4756
0500000US36071, New York,Orange,2015,0.4354
0500000US36075, New York,Oswego,2015,0.4133
0500000US36079, New York,Putnam,2015,0.4006
0500000US36081, New York,Queens,2015,0.4514
0500000US36083, New York,Rensselaer,2015,0.4502
0500000US36085, New York,Richmond,2015,0.4545
0500000US36087, New York,Rockland,2015,0.4559
0500000US36089, New York,St. Lawrence,2015,0.4445
0500000US36091, New York,Saratoga,2015,0.3818
0500000US36093, New York,Schenectady,2015,0.4342
0500000US36101, New York,Steuben,2015,0.4774
0500000US36103, New York,Suffolk,2015,0.4458
0500000US36105, New York,Sullivan,2015,0.4771
0500000US36109, New York,Tompkins,2015,0.4822
0500000US36111, New York,Ulster,2015,0.4467
0500000US36113, New York,Warren,2015,0.4596
0500000US36117, New York,Wayne,2015,0.4258
0500000US36119, New York,Westchester,2015,0.5508
0500000US37001, North Carolina,Alamance,2015,0.4703
0500000US37019, North Carolina,Brunswick,2015,0.4697
0500000US37021, North Carolina,Buncombe,2015,0.4641
0500000US37023, North Carolina,Burke,2015,0.4403
0500000US37025, North Carolina,Cabarrus,2015,0.4414
0500000US37027, North Carolina,Caldwell,2015,0.4353
0500000US37031, North Carolina,Carteret,2015,0.4809
0500000US37035, North Carolina,Catawba,2015,0.4786
0500000US37037, North Carolina,Chatham,2015,0.4869
0500000US37045, North Carolina,Cleveland,2015,0.4745
0500000US37049, North Carolina,Craven,2015,0.4282
0500000US37051, North Carolina,Cumberland,2015,0.4565
0500000US37057, North Carolina,Davidson,2015,0.4485
0500000US37063, North Carolina,Durham,2015,0.4701
0500000US37067, North Carolina,Forsyth,2015,0.4957
0500000US37071, North Carolina,Gaston,2015,0.4665
0500000US37081, North Carolina,Guilford,2015,0.4931
0500000US37085, North Carolina,Harnett,2015,0.4156
0500000US37089, North Carolina,Henderson,2015,0.451
0500000US37097, North Carolina,Iredell,2015,0.4714
0500000US37101, North Carolina,Johnston,2015,0.3989
0500000US37109, North Carolina,Lincoln,2015,0.4831
0500000US37119, North Carolina,Mecklenburg,2015,0.4891
0500000US37125, North Carolina,Moore,2015,0.4578
0500000US37127, North Carolina,Nash,2015,0.4752
0500000US37129, North Carolina,New Hanover,2015,0.4793
0500000US37133, North Carolina,Onslow,2015,0.4135
0500000US37135, North Carolina,Orange,2015,0.5169
0500000US37147, North Carolina,Pitt,2015,0.5017
0500000US37151, North Carolina,Randolph,2015,0.4147
0500000US37155, North Carolina,Robeson,2015,0.4872
0500000US37157, North Carolina,Rockingham,2015,0.4507
0500000US37159, North Carolina,Rowan,2015,0.4361
0500000US37161, North Carolina,Rutherford,2015,0.4449
0500000US37171, North Carolina,Surry,2015,0.47
0500000US37179, North Carolina,Union,2015,0.45
0500000US37183, North Carolina,Wake,2015,0.4453
0500000US37191, North Carolina,Wayne,2015,0.4448
0500000US37193, North Carolina,Wilkes,2015,0.4483
0500000US37195, North Carolina,Wilson,2015,0.4632
0500000US38015, North Dakota,Burleigh,2015,0.4518
0500000US38017, North Dakota,Cass,2015,0.4686
0500000US38035, North Dakota,Grand Forks,2015,0.5038
0500000US38101, North Dakota,Ward,2015,0.3934
0500000US39003, Ohio,Allen,2015,0.442
0500000US39007, Ohio,Ashtabula,2015,0.4153
0500000US39009, Ohio,Athens,2015,0.5456
0500000US39013, Ohio,Belmont,2015,0.4587
0500000US39017, Ohio,Butler,2015,0.4423
0500000US39023, Ohio,Clark,2015,0.4293
0500000US39025, Ohio,Clermont,2015,0.426
0500000US39029, Ohio,Columbiana,2015,0.4515
0500000US39035, Ohio,Cuyahoga,2015,0.5019
0500000US39041, Ohio,Delaware,2015,0.4356
0500000US39043, Ohio,Erie,2015,0.4745
0500000US39045, Ohio,Fairfield,2015,0.4126
0500000US39049, Ohio,Franklin,2015,0.4759
0500000US39055, Ohio,Geauga,2015,0.4962
0500000US39057, Ohio,Greene,2015,0.4373
0500000US39061, Ohio,Hamilton,2015,0.4995
0500000US39063, Ohio,Hancock,2015,0.4058
0500000US39081, Ohio,Jefferson,2015,0.4432
0500000US39085, Ohio,Lake,2015,0.4054
0500000US39089, Ohio,Licking,2015,0.4098
0500000US39093, Ohio,Lorain,2015,0.4367
0500000US39095, Ohio,Lucas,2015,0.4821
0500000US39099, Ohio,Mahoning,2015,0.479
0500000US39101, Ohio,Marion,2015,0.4302
0500000US39103, Ohio,Medina,2015,0.4199
0500000US39109, Ohio,Miami,2015,0.4633
0500000US39113, Ohio,Montgomery,2015,0.4581
0500000US39119, Ohio,Muskingum,2015,0.4376
0500000US39133, Ohio,Portage,2015,0.4301
0500000US39139, Ohio,Richland,2015,0.4167
