Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,2304.1566,3,3,5,1,2,1,1,1,1,4,1,3,7,2,1
2014,2849.16149,1,7,3,1,2,3,3,2,2,4,2,3,8,2,1
2014,2864.22948,1,7,3,1,1,1,4,3,1,4,1,3,8,2,1
2014,15182.56644,2,88,5,2,2,1,1,1,1,4,2,3,8,2,1
2014,2809.21767,1,88,4,1,2,1,1,4,2,4,2,3,8,2,1
2014,2965.86789,1,4,2,2,1,1,4,3,3,4,2,3,8,2,1
2014,3131.7363,1,6,2,1,2,1,1,1,2,4,2,3,8,2,3
2014,2946.24892,2,7,3,2,2,1,1,2,1,4,1,3,8,1,3
2014,2627.48029,1,6,3,1,1,3,4,3,4,4,2,3,8,2,1
2014,2627.48029,1,6,3,1,1,3,4,3,4,4,2,3,8,2,3
2014,3282.73746,2,7,4,1,2,2,2,2,1,4,1,3,6,2,1
2014,2929.00235,1,88,3,1,2,2,2,1,4,4,1,3,8,2,3
2014,2929.00235,1,88,3,1,2,2,2,1,4,4,1,3,8,2,5
2014,2790.13491,2,6,4,1,2,1,1,3,0,3,1,3,6,2,1
2014,2341.08349,1,2,5,1,2,3,3,2,4,4,2,3,6,2,1
2014,2383.99794,1,5,5,2,2,2,2,1,3,4,2,3,8,2,3
2014,2643.69702,1,7,4,2,2,1,1,1,3,4,1,3,8,2,5
2014,2247.67951,1,1,4,2,2,3,3,1,4,4,1,3,8,2,5
2014,3023.72873,2,7,3,1,2,1,1,2,1,4,2,3,8,,3
2014,3326.36384,1,88,2,1,2,2,2,1,4,4,2,3,6,2,1
2014,2862.13402,2,5,5,2,2,1,1,1,1,4,1,3,8,2,3
2014,2378.34615,2,3,5,2,2,1,1,1,2,4,2,3,8,2,1
2014,3101.16887,1,5,4,2,2,1,1,2,3,4,2,3,8,2,5
2014,3656.71316,1,1,1,2,1,1,4,1,3,4,2,3,8,2,1
2014,3656.71316,1,1,1,2,1,1,4,1,3,4,2,3,8,2,1
2014,3656.71316,1,1,1,2,1,1,4,1,3,4,2,3,8,2,1
2014,2552.15518,3,3,4,1,2,3,3,2,1,4,2,3,8,2,1
2014,2552.15518,3,3,4,1,2,3,3,2,1,4,2,3,8,2,1
2014,2870.71522,1,7,2,1,2,3,3,2,4,4,2,3,8,2,3
2014,2671.30605,1,1,2,2,2,1,1,1,2,3,2,3,8,2,1
2014,1547.84644,1,1,5,2,1,1,4,3,3,4,2,3,8,2,3
2014,1669.79617,2,4,4,2,2,1,1,2,0,4,2,3,8,2,3
2014,1465.8272,1,7,4,1,2,1,1,2,4,4,2,3,8,2,1
